Red Tide Sighting No.,Date of Report,Date of Dissipation,Group,Species,Location,Latitude,Longitude,Coordinate System
1980S0007,1980-08-26,1980-08-27,Dinoflagellates,Noctiluca scintillans,"Nam She Wan, Sai Kung",22.4382813246191,114.37082506974,WGS84
1980S0007,1980-08-26,1980-08-27,Others,Trichodesmium erythraeum,"Nam She Wan, Sai Kung",22.4382813246191,114.37082506974,WGS84
1980S0006,1980-08-26,1980-08-27,Dinoflagellates,Gymnodinium sp.,"Tai Long Sai Wan, Sai Kung",22.3989385081385,114.373076961195,WGS84
1980S0008,1980-09-28,1980-10-03,Dinoflagellates,Karenia mikimotoi,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1980S0009,1980-10-18,1980-10-19,Dinoflagellates,Noctiluca scintillans,"Cafeteria Old Beach, Tuen Mun",22.3747360284492,113.983962748878,WGS84
1981S0001,1981-01-28,1981-01-29,Dinoflagellates,Gymnodinium simplex,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1981S0002,1981-02-14,1981-02-15,Dinoflagellates,Karenia mikimotoi,"Hang Hau, Sai Kung",22.2987586388346,114.260857830927,WGS84
1981S0003,1981-03-25,1981-03-26,Dinoflagellates,Gymnodinium simplex,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1981S0004,1981-10-14,1981-10-15,Others,Undetermined sp.,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1982S0001,1982-01-22,1982-01-23,Others,Undetermined sp.,Silvermine Bay and Cheung Sha Wan Fish Culture Zone,22.2658003857783,114.005557719705,WGS84
1982S0003,1982-03-10,1982-03-11,Others,Undetermined sp.,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1982S0004,1982-03-15,1982-03-16,Dinoflagellates,Gymnodinium sp.X,Inner Port Shelter near Yeung Chau,22.3793233682376,114.28024213581,WGS84
1982S0005,1982-03-19,1982-03-20,Dinoflagellates,Noctiluca scintillans,Tolo Harbour near Yuen Chau Tsai,22.4471825431082,114.178729832492,WGS84
1982S0005,1982-03-19,1982-03-20,Dinoflagellates,Prorocentrum micans,Tolo Harbour near Yuen Chau Tsai,22.4471825431082,114.178729832492,WGS84
1982S0006,1982-05-05,1982-05-06,Others,Undetermined sp.,Tolo Harbour near Yuen Chau Tsai,22.4471825431082,114.178729832492,WGS84
1982S0007,1982-05-12,1982-05-13,Dinoflagellates,Gymnodinium sp.X,Inner Port Shelter near Yeung Chau and Kau Sai Fish Culture Zone,22.341440913415,114.318429885789,WGS84
1982S0008,1982-09-09,1982-09-10,Others,Undetermined sp.,"Port Shelter (Ngau Mei Hoi), Sai Kung",22.3442848112631,114.288800994762,WGS84
1982S0009,1982-09-23,1982-09-24,Dinoflagellates,Gonyaulax polygramma,"Port Shelter (Ngau Mei Hoi), Sai Kung",22.3442848112631,114.288800994762,WGS84
1982S0010,1982-10-30,1982-10-31,Others,Undetermined sp.,"Tso Wo Hang, Inner Port Shelter",22.3896902454938,114.288613743495,WGS84
1982S0011,1982-11-23,1982-11-24,Dinoflagellates,Gyrodinium instriatum,Ma Wan,22.3544048559501,114.054940250966,WGS84
1983S0001,1983-03-03,1983-03-04,Others,Mesodinium rubrum,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1983S0002,1983-03-09,1983-03-10,Others,Undetermined sp.,Tolo Harbour near Sam Mun Tsai,22.4559982917164,114.200446919206,WGS84
1983S0003,1983-03-21,1983-03-22,Dinoflagellates,Noctiluca scintillans,Tolo Harbour near Yuen Chau Tsai,22.4471825431082,114.178729832492,WGS84
1983S0004,1983-04-11,1983-04-12,Dinoflagellates,Noctiluca scintillans,"Turtle Cove Beach, Hong Kong Island",22.2323619896757,114.223527619083,WGS84
1983S0005,1983-04-20,1983-04-21,Dinoflagellates,Noctiluca scintillans,Tolo Channel and Long Harbour,22.4490860878233,114.347581510491,WGS84
1983S0006,1983-04-20,1983-04-21,Dinoflagellates,Noctiluca scintillans,"Shek O Beach, Turtle Cove Beach, Stanley Main Beach",22.2207986226751,114.21514462962,WGS84
1983S0007,1983-05-16,1983-05-17,Others,Teleaulax acuta,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1983S0008,1983-05-19,1983-05-20,Dinoflagellates,Ceratium furca,"Port Shelter (Ngau Mei Hoi), Sai Kung",22.3442848112631,114.288800994762,WGS84
1983S0009,1983-08-12,1983-08-13,Dinoflagellates,Noctiluca scintillans,Sok Kwu Wan Fish Culture Zone,22.2084416628988,114.133440105449,WGS84
1983S0010,1983-08-14,1983-08-15,Others,Undetermined sp.,Tap Mun,22.4729462306435,114.372927853953,WGS84
1983S0011,1983-09-19,1983-09-20,Dinoflagellates,Ceratium furca,Ma Nam Wat Fish Culture Zone,22.3545246416136,114.270930516511,WGS84
1983S0012,1983-09-20,1983-09-21,Dinoflagellates,Ceratium furca,Plover Cove (Shuen Wan Hoi),22.4658700071974,114.234189939163,WGS84
1983S0013,1983-10-18,1983-10-19,Dinoflagellates,Karenia mikimotoi,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1983S0014,1983-11-11,1983-11-12,Dinoflagellates,Prorocentrum micans,Tolo Harbour near Yuen Chau Tsai,22.4471825431082,114.178729832492,WGS84
1983S0015,1983-11-12,1983-11-13,Dinoflagellates,Gyrodinium instriatum,Deep Bay,22.4786281849001,113.974129841178,WGS84
1983S0016,1983-12-13,1983-12-14,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour near Yuen Chau Tsai,22.4471825431082,114.178729832492,WGS84
1983S0017,1983-12-13,1983-12-14,Dinoflagellates,Heterocapsa circularisquama,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1983S0018,1983-12-14,1983-12-15,Dinoflagellates,Noctiluca scintillans,Cheung Sha Wan Fish Culture Zone,22.235803653668,114.005965407858,WGS84
1983S0020,1983-12-14,1983-12-19,Others,Mesodinium rubrum,"Lung Kwu Chau, Pillar Point, Sha Chau",22.3612583985598,113.951958352938,WGS84
1983S0019,1983-12-14,1983-12-15,Others,Mesodinium rubrum,Chek Lap Kok,22.3212664601332,113.907831074412,WGS84
1983S0021,1983-12-18,1983-12-19,Others,Mesodinium rubrum,"Pillar Point (Mong Hau Shek), Tuen Mun",22.3610616442265,113.952063951024,WGS84
1983S0022,1983-12-19,1983-12-20,Others,Mesodinium rubrum,Junk Bay (Tseung Kwan O),22.2870846325807,114.258739591895,WGS84
1983S0023,1983-12-28,1983-12-29,Dinoflagellates,Gymnodinium sp.,Shatin Hoi,22.4164807494434,114.218635092859,WGS84
1984S0001,1984-01-15,1984-01-16,Dinoflagellates,Noctiluca scintillans,"Port Shelter (Ngau Mei Hoi), Sai Kung",22.3361897188202,114.275221172789,WGS84
1984S0002,1984-01-17,1984-01-19,Others,Plagioselmis prolonga,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1984S0003,1984-01-18,1984-01-20,Others,Mesodinium rubrum,"Port Shelter (Ngau Mei Hoi), Sai Kung and Po Toi O Fish Culture Zone",22.3442695990984,114.288820873642,WGS84
1984S0004,1984-01-30,1984-01-31,Others,Plagioselmis prolonga,Yim Tin Tsai Fish Culture Zone and Tolo Harbour,22.4387958663185,114.215302966531,WGS84
1984S0005,1984-02-10,1984-02-21,Dinoflagellates,Noctiluca scintillans,Yim Tin Tsai Fish Culture Zone,22.4547049747073,114.208580263924,WGS84
1984S0005,1984-02-10,1984-02-21,Diatom,Guinardia delicatula,Yim Tin Tsai Fish Culture Zone,22.4547049747073,114.208580263924,WGS84
1984S0006,1984-02-24,1984-02-25,Others,Undetermined sp.,Fat Tong Mun,22.25930690765,114.297117198786,WGS84
1984S0007,1984-03-05,1984-03-07,Others,Plagioselmis prolonga,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1984S0008,1984-03-09,1984-03-10,Dinoflagellates,Noctiluca scintillans,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1984S0009,1984-03-13,1984-03-14,Others,Mesodinium rubrum,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1984S0009,1984-03-13,1984-03-14,Dinoflagellates,Cochlodinium spp.,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1984S0009,1984-03-13,1984-03-14,Dinoflagellates,Noctiluca scintillans,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1984S0011,1984-03-14,1984-03-16,Dinoflagellates,Noctiluca scintillans,Kat O Fisheries Research Station,22.5365981421075,114.302904690136,WGS84
1984S0010,1984-03-15,1984-03-16,Others,Mesodinium rubrum,Tolo Harbour near Sam Mun Tsai,22.4558062082928,114.206204915415,WGS84
1984S0010,1984-03-15,1984-03-16,Dinoflagellates,Noctiluca scintillans,Tolo Harbour near Sam Mun Tsai,22.4558062082928,114.206204915415,WGS84
1984S0010,1984-03-15,1984-03-16,Dinoflagellates,Cochlodinium spp.,Tolo Harbour near Sam Mun Tsai,22.4558062082928,114.206204915415,WGS84
1984S0012,1984-03-26,1984-03-27,Dinoflagellates,Noctiluca scintillans,Port Island (Chek Chau),22.4973032169497,114.354709957815,WGS84
1984S0013,1984-03-27,1984-03-31,Dinoflagellates,Noctiluca scintillans,Kat O Fisheries Research Station,22.5365981421075,114.302904690136,WGS84
1984S0014,1984-03-27,1984-03-28,Others,Undetermined sp.,Southern Beaches,22.2358870947389,114.195458765247,WGS84
1984S0015,1984-03-27,1984-03-31,Dinoflagellates,Noctiluca scintillans,Tolo Harbour near Sam Mun Tsai,22.4558062082928,114.206204915415,WGS84
1984S0015,1984-03-27,1984-03-31,Diatom,Leptocylindrus minimus,Tolo Harbour near Sam Mun Tsai,22.4558062082928,114.206204915415,WGS84
1984S0016,1984-03-31,1984-04-01,Dinoflagellates,Noctiluca scintillans,"Stanley Main Beach, Hong Kong Island",22.2208233250361,114.215130233064,WGS84
1984S0017,1984-04-03,1984-04-11,Dinoflagellates,Noctiluca scintillans,Tolo Harbour and Tolo Channel,22.4817706407252,114.315079454233,WGS84
1984S0017,1984-04-03,1984-04-11,Dinoflagellates,Gymnodinium simplex,Tolo Harbour and Tolo Channel,22.4817706407252,114.315079454233,WGS84
1984S0018,1984-04-05,1984-04-06,Dinoflagellates,Noctiluca scintillans,Sok Kwu Wan Fish Culture Zone,22.2096986281726,114.133910159606,WGS84
1984S0019,1984-04-11,1984-04-12,Others,Undetermined sp.,Long Harbour,22.4493108747519,114.347511634005,WGS84
1984S0020,1984-04-12,1984-04-19,Dinoflagellates,Gymnodinium sanguineum,Tolo Harbour,22.4416641134058,114.202349467846,WGS84
1984S0020,1984-04-12,1984-04-19,Dinoflagellates,Noctiluca scintillans,Tolo Harbour,22.4416641134058,114.202349467846,WGS84
1984S0021,1984-04-19,1984-04-26,Dinoflagellates,Noctiluca scintillans,"Yim Tin Tsai to Ma Shi Chau, Tolo Harbour",22.446225317711,114.218695955041,WGS84
1984S0022,1984-04-19,1984-04-20,Dinoflagellates,Prorocentrum micans,Tolo Harbour,22.4433547479941,114.222957622947,WGS84
1984S0023,1984-05-02,1984-05-25,Dinoflagellates,Prorocentrum dentatum,Tolo Harbour and Tolo Channel,22.4722932927799,114.301284100688,WGS84
1984S0024,1984-06-12,1984-06-15,Dinoflagellates,Prorocentrum dentatum,Tolo Harbour near Tai Po Industrial Estate,22.4504313859787,114.185011869651,WGS84
1984S0025,1984-07-12,1984-07-21,Dinoflagellates,Prorocentrum sigmoides,Tolo Harbour and Tolo Channel,22.4817706407252,114.315079454233,WGS84
1984S0026,1984-09-20,1984-10-03,Dinoflagellates,Ceratium furca,Inner Port Shelter near Yeung Chau,22.3793233682376,114.28024213581,WGS84
1984S0027,1984-10-01,1984-10-08,Others,Trichodesmium erythraeum,"Tai Long Sai Wan to Long Ke Wan, Sai Kung",22.3976798619826,114.381167373147,WGS84
1984S0028,1984-10-10,1984-10-11,Others,Undetermined sp.,Inner Port Shelter and Ninepin Group South,22.3706907350434,114.28044680452,WGS84
1984S0029,1984-10-15,1984-10-17,Dinoflagellates,Ceratium furca,Inner Port Shelter,22.3704550386362,114.276696580814,WGS84
1985S0001,1985-01-16,1985-01-18,Others,Plagioselmis prolonga,Tolo Harbour near Yuen Chau Tsai,22.4471825431082,114.178729832492,WGS84
1985S0002,1985-01-17,1985-01-25,Dinoflagellates,Noctiluca scintillans,Kat O Fish Culture Zone,22.549724182846,114.289410351792,WGS84
1985S0003,1985-01-23,1985-01-24,Dinoflagellates,Noctiluca scintillans,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1985S0004,1985-01-23,1985-01-25,Diatom,Skeletonema costatum,"Tap Shek Kok to Castle Peak Bay, Tuen Mun",22.3547729643782,113.934619799805,WGS84
1985S0005,1985-01-30,1985-02-04,Others,Mesodinium rubrum,Cheung Sha Wan Fish Culture Zone,22.2361241510832,114.006317592245,WGS84
1985S0007,1985-02-05,1985-02-06,Dinoflagellates,Noctiluca scintillans,Kai Lung Wan Fish Culture Zone,22.3685611313728,114.301285709077,WGS84
1985S0006,1985-02-05,1985-02-06,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1985S0008,1985-02-08,1985-02-09,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.448641321296,114.190426842355,WGS84
1985S0009,1985-02-12,1985-02-13,Dinoflagellates,Noctiluca scintillans,Kat O Fish Culture Zone,22.5496188525662,114.289307874462,WGS84
1985S0010,1985-02-18,1985-02-19,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1985S0011,1985-03-18,1985-03-20,Dinoflagellates,Noctiluca scintillans,Kat O Fish Culture Zone,22.549724182846,114.289410351792,WGS84
1985S0012,1985-03-26,1985-03-27,Dinoflagellates,Noctiluca scintillans,"Port Shelter (Ngau Mei Hoi), Sai Kung",22.3386758083625,114.308073363302,WGS84
1985S0013,1985-03-27,1985-03-29,Dinoflagellates,Noctiluca scintillans,"Deep Water Bay, Hong Kong Island",22.2402970193189,114.182106672236,WGS84
1985S0014,1985-04-02,1985-04-03,Dinoflagellates,Noctiluca scintillans,Kat O Fish Culture Zone,22.549724182846,114.289410351792,WGS84
1985S0015,1985-04-16,1985-04-17,Others,Undetermined sp.,Shatin Hoi,22.4164807494434,114.218635092859,WGS84
1985S0016,1985-05-02,1985-05-07,Dinoflagellates,Prorocentrum dentatum,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1985S0016,1985-05-02,1985-05-07,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1985S0017,1985-05-07,1985-05-08,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1985S0018,1985-05-14,1985-05-20,Dinoflagellates,Gyrodinium instriatum,Victoria Harbour,22.2890684975176,114.174612687157,WGS84
1985S0019,1985-05-20,1985-05-24,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1985S0020,1985-06-13,1985-06-14,Dinoflagellates,Prorocentrum sigmoides,Tolo Channel,22.4426088000076,114.266042993605,WGS84
1985S0021,1985-09-24,1985-09-25,Others,Undetermined sp.,"Port Shelter (Ngau Mei Hoi), Sai Kung",22.3442848112631,114.288800994762,WGS84
1985S0022,1985-10-16,1985-10-18,Dinoflagellates,Prorocentrum triestinum,Shatin Hoi,22.4164807494434,114.218635092859,WGS84
1985S0023,1985-10-25,1985-10-29,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1985S0024,1985-11-08,1985-11-09,Dinoflagellates,Ceratium furca,Inner Port Shelter,22.3707019401543,114.280379021009,WGS84
1985S0025,1985-11-13,1985-11-16,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.4115949641525,114.217079265147,WGS84
1985S0026,1985-11-20,1985-11-22,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1985S0027,1985-12-03,1985-12-07,Dinoflagellates,Prorocentrum triestinum,Yim Tin Tsai Fish Culture Zone,22.4537088928599,114.207867381726,WGS84
1985S0028,1985-12-23,1985-12-31,Dinoflagellates,Prorocentrum triestinum,Shatin Hoi,22.4115949641525,114.217079265147,WGS84
1985S0028,1985-12-23,1985-12-31,Diatom,Thalassiosira mala,Shatin Hoi,22.4115949641525,114.217079265147,WGS84
1986S0001,1986-01-22,1986-01-23,Others,Undetermined sp.,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1986S0002,1986-02-19,1986-02-20,Dinoflagellates,Noctiluca scintillans,Tolo Harbour to Shatin Hoi,22.4259887338523,114.219771283758,WGS84
1986S0003,1986-02-25,1986-02-26,Others,Mesodinium rubrum,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1986S0004,1986-03-04,1986-03-08,Others,Mesodinium rubrum,Tolo Harbour,22.4378188781298,114.22864748815,WGS84
1986S0005,1986-03-11,1986-03-12,Dinoflagellates,Noctiluca scintillans,Kat O Fisheries Research Station,22.5365981421075,114.302904690136,WGS84
1986S0006,1986-03-19,1986-03-20,Dinoflagellates,Noctiluca scintillans,Plover Cove (Shuen Wan Hoi),22.4648108932466,114.233879026517,WGS84
1986S0007,1986-04-04,1986-04-11,Dinoflagellates,Noctiluca scintillans,Kat O Fisheries Research Station,22.5365538656619,114.302640178741,WGS84
1986S0008,1986-04-14,1986-04-16,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1986S0009,1986-04-14,1986-04-15,Dinoflagellates,Noctiluca scintillans,Yim Tin Tsai Fish Culture Zone,22.4537088928599,114.207867381726,WGS84
1986S0010,1986-04-18,1986-04-19,Dinoflagellates,Noctiluca scintillans,"Hoi Ha Wan, Sai Kung",22.4619784229027,114.328454887346,WGS84
1986S0011,1986-04-24,1986-04-25,Dinoflagellates,Gonyaulax polygramma,Port Shelter near Kiu Tsui,22.3668797763723,114.285465343862,WGS84
1986S0012,1986-04-30,1986-05-01,Dinoflagellates,Prorocentrum minimum,Tolo Harbour to Shatin Hoi,22.4259887338523,114.219771283758,WGS84
1986S0013,1986-05-14,1986-05-15,Others,Teleaulax acuta,Tolo Harbour,22.4488205484633,114.252339004951,WGS84
1986S0013,1986-05-14,1986-05-15,Diatom,Leptocylindrus danicus,Tolo Harbour,22.4488205484633,114.252339004951,WGS84
1986S0014,1986-05-15,1986-05-17,Diatom,Skeletonema costatum,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1986S0015,1986-05-25,1986-05-26,Others,Undetermined sp.,East Lamma Channel,22.228182134298,114.149753662017,WGS84
1986S0016,1986-05-27,1986-05-29,Others,Teleaulax acuta,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1986S0017,1986-06-03,1986-06-13,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1986S0018,1986-06-12,1986-06-13,Dinoflagellates,Gymnodinium sp.,Starling Inlet (Sha Tau Kok Hoi),22.5348466838985,114.220249562559,WGS84
1986S0019,1986-06-20,1986-06-21,Others,Undetermined sp.,Tolo Channel,22.4726467039114,114.298909456754,WGS84
1986S0020,1986-06-22,1986-06-23,Others,Undetermined sp.,"Port Shelter (Ngau Mei Hoi), Sai Kung",22.3467448167642,114.301038128102,WGS84
1986S0021,1986-07-15,1986-07-16,Dinoflagellates,Ceratium furca,Tap Mun to Tai Long Wan,22.4301181539483,114.414719528493,WGS84
1986S0022,1986-07-29,1986-08-01,Diatom,Pseudo-nitzschia pungens,Lei Yue Mun to Junk Bay,22.2865340858608,114.249732934622,WGS84
1986S0022,1986-07-29,1986-08-01,Diatom,Skeletonema costatum,Lei Yue Mun to Junk Bay,22.2865340858608,114.249732934622,WGS84
1986S0023,1986-09-12,1986-09-16,Dinoflagellates,Heterocapsa circularisquama,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1986S0024,1986-09-17,1986-09-18,Diatom,Skeletonema costatum,Shatin Hoi,22.4164807494434,114.218635092859,WGS84
1986S0025,1986-09-20,1986-09-29,Dinoflagellates,Prorocentrum sigmoides,Three Fathoms Cove (Kei Ling Ha Hoi),22.4300222316933,114.277458559829,WGS84
1986S0026,1986-10-15,1986-10-16,Dinoflagellates,Karenia mikimotoi,Tolo Harbour,22.4457272816072,114.191593249631,WGS84
1986S0027,1986-10-15,1986-10-16,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.4339779669543,114.218934759773,WGS84
1986S0028,1986-11-05,1986-11-06,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.4454522785336,114.193957947644,WGS84
1986S0029,1986-11-12,1986-11-13,Diatom,Thalassiosira mala,Shing Mun River,22.3973287844342,114.208633065372,WGS84
1986S0030,1986-12-10,1986-12-12,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.4444975552805,114.197968513898,WGS84
1986S0031,1986-12-23,1986-12-29,Dinoflagellates,Karenia mikimotoi,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1986S0032,1986-12-30,1986-12-31,Others,Mesodinium rubrum,"Clear Water Bay and Sheung Sze Wan, Sai Kung",22.2837275123717,114.295285721526,WGS84
1986S0033,1986-12-31,1987-01-01,Dinoflagellates,Noctiluca scintillans,Kat O Fish Culture Zone,22.549724182846,114.289410351792,WGS84
1987S0001,1987-01-08,1987-01-09,Diatom,Skeletonema costatum,Tolo Harbour,22.4420453723245,114.196750111973,WGS84
1987S0002,1987-01-15,1987-01-21,Dinoflagellates,Noctiluca scintillans,"Ma Shi Chau, Tolo Harbour",22.4533369222261,114.233050341346,WGS84
1987S0003,1987-01-23,1987-01-24,Dinoflagellates,Noctiluca scintillans,Kat O Fish Culture Zone,22.5495708677475,114.290831133153,WGS84
1987S0004,1987-02-01,1987-02-02,Others,Undetermined sp.,West Lamma Island,22.2188384008324,114.072450483639,WGS84
1987S0005,1987-02-02,1987-02-08,Dinoflagellates,Noctiluca scintillans,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1987S0006,1987-02-04,1987-02-05,Others,Mesodinium rubrum,Tolo Harbour,22.4394892634084,114.199306162608,WGS84
1987S0007,1987-02-06,1987-02-21,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1987S0008,1987-03-18,1987-03-23,Others,Heterosigma akashiwo,Yim Tin Tsai (East) Fish Culture Zone,22.4543925618752,114.22239966832,WGS84
1987S0009,1987-03-31,1987-04-01,Dinoflagellates,Noctiluca scintillans,Kat O Fish Culture Zone,22.5496132264025,114.289411535369,WGS84
1987S0010,1987-04-01,1987-04-02,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1987S0011,1987-05-01,1987-05-02,Dinoflagellates,Noctiluca scintillans,"Turtle Cove Beach, Hong Kong Island",22.2323619896757,114.223527619083,WGS84
1987S0012,1987-05-06,1987-05-07,Dinoflagellates,Noctiluca scintillans,"Lido Beach and Hoi Mei Wan Beach, Tsuen Wan",22.3668160527618,114.076462191809,WGS84
1987S0013,1987-05-07,1987-05-08,Dinoflagellates,Noctiluca scintillans,Tolo Harbour,22.4444594876187,114.222067368922,WGS84
1987S0014,1987-05-07,1987-05-08,Dinoflagellates,Noctiluca scintillans,"Silvermine Bay Beach, Lantau Island",22.2701187204021,114.000468656771,WGS84
1987S0015,1987-05-10,1987-05-11,Dinoflagellates,Noctiluca scintillans,"Adamasta Channel, Lantau Island",22.2111362566474,114.012766938362,WGS84
1987S0016,1987-05-12,1987-05-13,Dinoflagellates,Noctiluca scintillans,Lo Tik Wan Fish Culture Zone,22.2208323140926,114.129596491294,WGS84
1987S0017,1987-05-13,1987-05-15,Others,Heterosigma akashiwo,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1987S0018,1987-05-21,1987-05-22,Dinoflagellates,Noctiluca scintillans,Kat O Fish Culture Zone,22.549724182846,114.289410351792,WGS84
1987S0019,1987-05-31,1987-06-02,Dinoflagellates,Noctiluca scintillans,Southern Beaches,22.2439096937891,114.18680761166,WGS84
1987S0020,1987-06-01,1987-06-02,Dinoflagellates,Noctiluca scintillans,Leung Shuen Wan Fish Culture Zone,22.3490665389581,114.35257804742,WGS84
1987S0021,1987-06-15,1987-06-16,Dinoflagellates,Noctiluca scintillans,"Repulse Bay Beach, Middle Bay Beach and Chung Hom Kok Beach",22.2358881687969,114.1954639453,WGS84
1987S0022,1987-06-24,1987-06-25,Diatom,Skeletonema costatum,Tolo Harbour,22.4439513422379,114.202496489304,WGS84
1987S0023,1987-07-28,1987-07-30,Dinoflagellates,Heterocapsa circularisquama,Three Fathoms Cove (Kei Ling Ha Hoi),22.4300222316933,114.277458559829,WGS84
1987S0024,1987-08-03,1987-08-08,Diatom,Skeletonema costatum,Yim Tin Tsai (East) and Yim Tin Tsai Fish Culture Zones,22.4544402183019,114.222389813107,WGS84
1987S0025,1987-08-03,1987-08-07,Diatom,Skeletonema costatum,Victoria Harbour,22.2896209887333,114.17342035885,WGS84
1987S0026,1987-08-04,1987-08-05,Diatom,Skeletonema costatum,Aberdeen Typhoon Shelter,22.2423756710962,114.160490093323,WGS84
1987S0027,1987-08-12,1987-08-13,Others,Eutreptiella spp.,Tolo Harbour,22.443997275125,114.22134442269,WGS84
1987S0028,1987-08-14,1987-08-15,Dinoflagellates,Prorocentrum triestinum,Tolo Harbour,22.4436331285727,114.222293363462,WGS84
1987S0029,1987-09-01,1987-09-03,Diatom,Skeletonema costatum,Aberdeen Typhoon Shelter,22.2423756710962,114.160490093323,WGS84
